type,subtype,city,street,pubMillis
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
chit_chat,,santiago,san martín,1748966779000
hazard,hazard_on_shoulder_car_stopped,pudahuel,camino lo boza,1748964655000
police,,pedro aguirre cerda,av. carlos valdovinos,1748966240000
police,,santiago,teatinos,1748965557000
police,,maipú,isabel riquelme,1748966955000
road_closed,road_closed_event,maipú,longitudinal,1744948800000
police,,pudahuel,av. san pablo,1748964360000
chit_chat,,cerrillos,av. salvador allende,1748966594000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
road_closed,road_closed_event,renca,vicuña mackenna,1736165132000
hazard,hazard_on_road_pot_hole,independencia,las cañas,1748962860000
accident,,,autopista central - eje gral. velásquez,1748966630000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road_pot_hole,maipú,av. hugo bravo,1748953062000
hazard,hazard_on_road,quinta normal,nueva imperial,1748967067000
police,,cerrillos,av. salvador allende,1748963751000
chit_chat,,santiago,bascuñán guerrero,1748966552000
road_closed,road_closed_event,pudahuel,av. claudio arrau,1747319655000
hazard,hazard_on_road_pot_hole,maipú,av. marta ossa ruiz,1748962677000
police,,pudahuel,av. teniente luis cruz martínez,1748965972000
police,,santiago,compañía de jesús,1748966128000
hazard,hazard_on_road_pot_hole,maipú,las brisas,1748958787000
police,,santiago,teatinos,1748966309000
chit_chat,,pedro aguirre cerda,maipú,1748965569000
hazard,hazard_on_road_pot_hole,maipú,ernesto pinto lagarrigue,1748953111000
hazard,hazard_on_road_pot_hole,renca,puerto montt,1748604364000
chit_chat,,santiago,av. libertador bernardo o'higgins,1748966095000
hazard,hazard_on_road_pot_hole,,ruta g-182 / camino el noviciado,1748963316000
police,,cerrillos,av. lo errázuriz,1748965549000
hazard,hazard_on_road_construction,pudahuel,av. los mares,1748965974000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
road_closed,road_closed_event,,av. independencia,1717680103000
road_closed,road_closed_event,maipú,av. hugo bravo,1744948780000
chit_chat,,pudahuel,av. san pablo,1748965918000
road_closed,road_closed_event,conchalí,av. independencia,1717680103000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road_pot_hole,maipú,sur de chile,1748961797000
police,,pudahuel,mar caribe,1748967025000
road_closed,road_closed_event,conchalí,,1741007149000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
road_closed,road_closed_event,,av. independencia,1717680103000
chit_chat,,quilicura,colo colo,1748965284000
chit_chat,,santiago,unión latinoamericana,1748965881000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
hazard,hazard_on_shoulder_car_stopped,pudahuel,camino lo boza,1748964687000
hazard,hazard_on_road_pot_hole,pedro aguirre cerda,quirihue,1748756855000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
police,,estación central,ruiz tagle,1748967116000
hazard,hazard_weather,independencia,hipódromo chile,1748965335000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
hazard,hazard_on_road,maipú,av. pajaritos,1748966515000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
hazard,hazard_on_road_lane_closed,santiago,av. libertador bernardo o'higgins,1745326800000
road_closed,road_closed_event,conchalí,quilicura,1717771421000
hazard,hazard_on_road_pot_hole,huechuraba,av. pedro fontova norte,1748302654000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
chit_chat,,santiago,san martín,1748966854000
chit_chat,,cerrillos,av. lo errázuriz,1748966519000
road_closed,road_closed_event,quinta normal,mapocho,1748965471000
road_closed,road_closed_event,maipú,longitudinal,1743690902000
road_closed,road_closed_event,conchalí,av. independencia,1717680415000
road_closed,road_closed_event,conchalí,av. independencia,1717680414000
hazard,hazard_on_road_pot_hole,independencia,pasaje padre lópez,1748964529000
hazard,hazard_on_road_pot_hole,independencia,chillán,1748962970000
hazard,hazard_on_road_construction,las condes,manuel aldunate,1748952000000
hazard,hazard_on_road,macul,av. pedro de valdivia,1748963704000
hazard,hazard_on_road_pot_hole,recoleta,purísima,1748966621000
